01/01	جشن نوروز (تعطیل)
01/02	جشن دهقان (تعطیل)
02/05	روز مطبوعات
02/07	کودتای کمونیستی (سال ۱۳۵۷)
02/08	پیروزی جهاد مقدس افغانستان (تعطیل)
02/16	روز قلم
04/26	کودتای سردار محمد داود خان
05/28	روز استرداد و استقلال افغانستان (تعطیل)
06/18	روز شهادت قهرمان ملی افغانستان (تعطیل)
07/16	روز هنر
07/26	روز ترانسپورت و ترانزیت
08/25	مطابق با (۱۶ نومبر) روز جهانی محصلان
09/30	شب یلدا
10/06	روز تجاوز قشون سرخ به افغانستان (سال ۱۳۵۸)
10/14	هفته تجلیل از قانون اساسی
10/15	هفته تجلیل از قانون اساسی
10/16	هفته تجلیل از قانون اساسی
10/17	هفته تجلیل از قانون اساسی
10/18	هفته تجلیل از قانون اساسی
10/19	هفته تجلیل از قانون اساسی
10/20	هفته تجلیل از قانون اساسی
11/01	مطابق با (۲۱ جنوری) روز بین‌المللی مبارزه با آلات انفجاری تعبیه‌شده
11/10	روز متعاقدین
11/26	روز شکست و خروج ارتش اتحاد جماهیر شوروی سوسیالیستی سابق از افغانستان (تعطیل)
12/03	روز تکبیر و قیام مردم کابل در برابر قشون سرخ
12/09	روز سرباز
12/20	روز حفاظت از میراث‌های فرهنگی کشور
12/22	روز شهید وحدت ملی (۱۳۷۳)
12/24	روز قیام مردم هرات در برابر حکومت خلقی و پرچمی
